sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,description,fk,material,name,op,price,ptm,sd,size,status,tax_class_id,visibility,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
JC15BKPBGRRD4002,,Bags,simple,Bags,Default Category,base,,"Casual And Cool Grey And Red Combo Spacious Backpack With Multiple Pockets, Padded Back, Two Designer Pockets On Sides And Hidden Base Pocket. Suitable For College Or Other Casual Occasions",Yes,Canvas, Grey Red Canvas Stylo Backpack,No,499,No,No,,1,0,4,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/j/c/jc15bkpbgrrd4002_main.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15bkpbgrrd4002_other_1.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15bkpbgrrd4002_other_2.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15bkpbgrrd4002_other_3.jpg,,4,0
JC14sbgb3,,Bags,simple,Bags,Default Category,base,,Earthy colored gym bag made from rough and tough jute material and strong canvas interiors is suitable for carrying your gym apparels and accessories or as a fashionable travel bag.,Yes,Jutecotton,Beige Brown Duffel Bag,No,499,No,No,,1,0,4,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/j/c/jc14sbgb3_other_3.jpg,,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc14sbgb3_other_2.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc14sbgb3.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc14sbgb3_other_1.jpg,,3,0
JC14TBSBPRRDJ1012,,Bags,simple,Bags,Default Category,base,,"Tote bag made by jute central is a spacious, strong yet fashionable hand bag with 2 top open pouch pockets in the front and 3 pockets in the interior.  The bag has single spacious  gussetted compartment and has bright red canvas interiors",Yes,Jutecotton, Purpil Cross Body Tote,No,499,No,No,,1,0,4,10,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/j/c/jc14tbsbprrdj1012-m-4-2x.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc14tbsbprrdj1012-m-2-2x.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc14tbsbprrdj1012-m-1-2x.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc14tbsbprrdj1012-m-3-2x.jpg,,4,0
JC15HBSOGPRF2011,,Bags,simple,Bags,Default Category,base,,"Small and portable designer hand bag with hand made bow designer and metallic logo palla, canvas lined interiors, dual pockets to suit casual and formal occasions",Yes,Jutecotton, Green small hand hald,No,499,No,No,,1,0,4,10,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/j/c/jc15hbsogprf2011_other_2.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15hbsogprf2011_other_1.jpg,,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15hbsogprf2011_other_3.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15hbsogprf2011_main.jpg,,1,0
JC15HBSTGRBL14,,Bags,simple,Bags,Default Category,base,,The fashionable trapezoid cut designer bag has Single Gussetted Compartment with a zipped closure Suitable to carry to work or other formal occasions.,Yes,Jutecotton,GreenBlack Handhel bag,No,499,No,No,,1,0,4,10,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/j/c/jc15hbstgrbl14_main.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15hbstgrbl14_other_1.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15hbstgrbl14_other_3.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15hbstgrbl14_other_2.jpg,,4,0
